Day,Store_ID,Product_ID,Inventory_Units
1,S_1,P_1,0
1,S_1,P_2,0
1,S_1,P_3,0
1,S_1,P_4,84
1,S_1,P_5,24
1,S_1,P_6,0
1,S_1,P_7,0
1,S_1,P_8,0
1,S_1,P_9,0
1,S_1,P_10,0
1,S_1,P_11,0
1,S_1,P_12,0
1,S_1,P_13,0
1,S_1,P_14,0
1,S_1,P_15,0
1,S_1,P_16,0
1,S_1,P_17,50
1,S_1,P_18,0
1,S_1,P_19,0
1,S_1,P_20,0
1,S_1,P_21,0
1,S_1,P_22,0
1,S_1,P_23,0
1,S_1,P_24,0
1,S_1,P_25,0
1,S_1,P_26,3
1,S_1,P_27,0
1,S_1,P_28,0
1,S_1,P_29,0
1,S_1,P_30,0
1,S_2,P_1,43
1,S_2,P_2,7
1,S_2,P_3,65
1,S_2,P_4,51
1,S_2,P_5,58
1,S_2,P_6,0
1,S_2,P_7,50
1,S_2,P_8,11
1,S_2,P_9,43
1,S_2,P_10,22
1,S_2,P_11,55
1,S_2,P_12,0
1,S_2,P_13,57
1,S_2,P_14,56
1,S_2,P_15,0
1,S_2,P_16,58
1,S_2,P_17,47
1,S_2,P_18,56
1,S_2,P_19,50
1,S_2,P_20,54
1,S_2,P_21,62
1,S_2,P_22,0
1,S_2,P_23,50
1,S_2,P_24,63
1,S_2,P_25,56
1,S_2,P_26,60
1,S_2,P_27,66
1,S_2,P_28,52
1,S_2,P_29,63
1,S_2,P_30,83
1,S_3,P_1,0
1,S_3,P_2,0
1,S_3,P_3,0
1,S_3,P_4,60
1,S_3,P_5,41
1,S_3,P_6,0
1,S_3,P_7,0
1,S_3,P_8,0
1,S_3,P_9,12
1,S_3,P_10,0
1,S_3,P_11,18
1,S_3,P_12,0
1,S_3,P_13,0
1,S_3,P_14,39
1,S_3,P_15,0
1,S_3,P_16,0
1,S_3,P_17,44
1,S_3,P_18,0
1,S_3,P_19,0
1,S_3,P_20,0
1,S_3,P_21,0
1,S_3,P_22,0
1,S_3,P_23,0
1,S_3,P_24,0
1,S_3,P_25,25
1,S_3,P_26,54
1,S_3,P_27,10
1,S_3,P_28,0
1,S_3,P_29,0
1,S_3,P_30,0
1,S_4,P_1,0
1,S_4,P_2,0
1,S_4,P_3,0
1,S_4,P_4,0
1,S_4,P_5,0
1,S_4,P_6,0
1,S_4,P_7,0
1,S_4,P_8,0
1,S_4,P_9,0
1,S_4,P_10,0
1,S_4,P_11,0
1,S_4,P_12,0
1,S_4,P_13,0
1,S_4,P_14,0
1,S_4,P_15,0
1,S_4,P_16,0
1,S_4,P_17,0
1,S_4,P_18,0
1,S_4,P_19,0
1,S_4,P_20,0
1,S_4,P_21,0
1,S_4,P_22,0
1,S_4,P_23,0
1,S_4,P_24,0
1,S_4,P_25,0
1,S_4,P_26,0
1,S_4,P_27,0
1,S_4,P_28,0
1,S_4,P_29,0
1,S_4,P_30,0
1,S_5,P_1,6
1,S_5,P_2,0
1,S_5,P_3,29
1,S_5,P_4,61
1,S_5,P_5,60
1,S_5,P_6,0
1,S_5,P_7,3
1,S_5,P_8,0
1,S_5,P_9,49
1,S_5,P_10,0
1,S_5,P_11,62
1,S_5,P_12,0
1,S_5,P_13,9
1,S_5,P_14,58
1,S_5,P_15,0
1,S_5,P_16,44
1,S_5,P_17,52
1,S_5,P_18,59
1,S_5,P_19,0
1,S_5,P_20,28
1,S_5,P_21,27
1,S_5,P_22,0
1,S_5,P_23,0
1,S_5,P_24,0
1,S_5,P_25,61
1,S_5,P_26,71
1,S_5,P_27,59
1,S_5,P_28,41
1,S_5,P_29,36
1,S_5,P_30,1
1,S_6,P_1,0
1,S_6,P_2,0
1,S_6,P_3,0
1,S_6,P_4,4
1,S_6,P_5,0
1,S_6,P_6,0
1,S_6,P_7,0
1,S_6,P_8,0
1,S_6,P_9,0
1,S_6,P_10,0
1,S_6,P_11,0
1,S_6,P_12,0
1,S_6,P_13,0
1,S_6,P_14,0
1,S_6,P_15,0
1,S_6,P_16,0
1,S_6,P_17,0
1,S_6,P_18,0
1,S_6,P_19,0
1,S_6,P_20,0
1,S_6,P_21,0
1,S_6,P_22,0
1,S_6,P_23,0
1,S_6,P_24,0
1,S_6,P_25,0
1,S_6,P_26,0
1,S_6,P_27,0
1,S_6,P_28,0
1,S_6,P_29,0
1,S_6,P_30,0
1,S_7,P_1,0
1,S_7,P_2,0
1,S_7,P_3,0
1,S_7,P_4,0
1,S_7,P_5,0
1,S_7,P_6,0
1,S_7,P_7,0
1,S_7,P_8,0
1,S_7,P_9,0
1,S_7,P_10,0
1,S_7,P_11,0
1,S_7,P_12,0
1,S_7,P_13,0
1,S_7,P_14,0
1,S_7,P_15,0
1,S_7,P_16,0
1,S_7,P_17,0
1,S_7,P_18,0
1,S_7,P_19,0
1,S_7,P_20,0
1,S_7,P_21,0
1,S_7,P_22,0
1,S_7,P_23,0
1,S_7,P_24,0
1,S_7,P_25,0
1,S_7,P_26,0
1,S_7,P_27,0
1,S_7,P_28,0
1,S_7,P_29,0
1,S_7,P_30,0
1,S_8,P_1,0
1,S_8,P_2,0
1,S_8,P_3,0
1,S_8,P_4,0
1,S_8,P_5,0
1,S_8,P_6,0
1,S_8,P_7,0
1,S_8,P_8,0
1,S_8,P_9,0
1,S_8,P_10,0
1,S_8,P_11,0
1,S_8,P_12,0
1,S_8,P_13,0
1,S_8,P_14,0
1,S_8,P_15,0
1,S_8,P_16,0
1,S_8,P_17,0
1,S_8,P_18,0
1,S_8,P_19,0
1,S_8,P_20,0
1,S_8,P_21,0
1,S_8,P_22,0
1,S_8,P_23,0
1,S_8,P_24,0
1,S_8,P_25,0
1,S_8,P_26,0
1,S_8,P_27,0
1,S_8,P_28,0
1,S_8,P_29,0
1,S_8,P_30,0
1,S_9,P_1,73
1,S_9,P_2,104
1,S_9,P_3,42
1,S_9,P_4,80
1,S_9,P_5,71
1,S_9,P_6,32
1,S_9,P_7,68
1,S_9,P_8,65
1,S_9,P_9,66
1,S_9,P_10,60
1,S_9,P_11,71
1,S_9,P_12,30
1,S_9,P_13,60
1,S_9,P_14,65
1,S_9,P_15,47
1,S_9,P_16,67
1,S_9,P_17,73
1,S_9,P_18,64
1,S_9,P_19,81
1,S_9,P_20,90
1,S_9,P_21,92
1,S_9,P_22,70
1,S_9,P_23,68
1,S_9,P_24,75
1,S_9,P_25,71
1,S_9,P_26,79
1,S_9,P_27,62
1,S_9,P_28,76
1,S_9,P_29,91
1,S_9,P_30,97
1,S_10,P_1,0
1,S_10,P_2,0
1,S_10,P_3,0
1,S_10,P_4,0
1,S_10,P_5,0
1,S_10,P_6,0
1,S_10,P_7,0
1,S_10,P_8,0
1,S_10,P_9,0
1,S_10,P_10,0
1,S_10,P_11,0
1,S_10,P_12,0
1,S_10,P_13,0
1,S_10,P_14,0
1,S_10,P_15,0
1,S_10,P_16,0
1,S_10,P_17,0
1,S_10,P_18,0
1,S_10,P_19,0
1,S_10,P_20,0
1,S_10,P_21,0
1,S_10,P_22,0
1,S_10,P_23,0
1,S_10,P_24,0
1,S_10,P_25,0
1,S_10,P_26,0
1,S_10,P_27,0
1,S_10,P_28,0
1,S_10,P_29,0
1,S_10,P_30,0
2,S_1,P_1,0
2,S_1,P_2,0
2,S_1,P_3,0
2,S_1,P_4,24
2,S_1,P_5,0
2,S_1,P_6,0
2,S_1,P_7,0
2,S_1,P_8,0
2,S_1,P_9,0
2,S_1,P_10,0
2,S_1,P_11,0
2,S_1,P_12,0
2,S_1,P_13,0
2,S_1,P_14,0
2,S_1,P_15,0
2,S_1,P_16,0
2,S_1,P_17,0
2,S_1,P_18,0
2,S_1,P_19,0
2,S_1,P_20,0
2,S_1,P_21,0
2,S_1,P_22,0
2,S_1,P_23,0
2,S_1,P_24,0
2,S_1,P_25,0
2,S_1,P_26,0
2,S_1,P_27,0
2,S_1,P_28,0
2,S_1,P_29,0
2,S_1,P_30,0
2,S_2,P_1,1
2,S_2,P_2,0
2,S_2,P_3,3
2,S_2,P_4,0
2,S_2,P_5,0
2,S_2,P_6,0
2,S_2,P_7,0
2,S_2,P_8,0
2,S_2,P_9,2
2,S_2,P_10,0
2,S_2,P_11,3
2,S_2,P_12,0
2,S_2,P_13,0
2,S_2,P_14,0
2,S_2,P_15,0
2,S_2,P_16,0
2,S_2,P_17,0
2,S_2,P_18,0
2,S_2,P_19,0
2,S_2,P_20,2
2,S_2,P_21,0
2,S_2,P_22,0
2,S_2,P_23,0
2,S_2,P_24,2
2,S_2,P_25,0
2,S_2,P_26,0
2,S_2,P_27,0
2,S_2,P_28,0
2,S_2,P_29,0
2,S_2,P_30,4
2,S_3,P_1,0
2,S_3,P_2,0
2,S_3,P_3,0
2,S_3,P_4,1
2,S_3,P_5,2
2,S_3,P_6,0
2,S_3,P_7,0
2,S_3,P_8,0
2,S_3,P_9,0
2,S_3,P_10,0
2,S_3,P_11,0
2,S_3,P_12,0
2,S_3,P_13,0
2,S_3,P_14,0
2,S_3,P_15,0
2,S_3,P_16,0
2,S_3,P_17,0
2,S_3,P_18,0
2,S_3,P_19,0
2,S_3,P_20,0
2,S_3,P_21,0
2,S_3,P_22,0
2,S_3,P_23,0
2,S_3,P_24,0
2,S_3,P_25,0
2,S_3,P_26,0
2,S_3,P_27,0
2,S_3,P_28,0
2,S_3,P_29,0
2,S_3,P_30,0
2,S_4,P_1,7
2,S_4,P_2,0
2,S_4,P_3,0
2,S_4,P_4,191
2,S_4,P_5,0
2,S_4,P_6,0
2,S_4,P_7,0
2,S_4,P_8,0
2,S_4,P_9,8
2,S_4,P_10,0
2,S_4,P_11,0
2,S_4,P_12,0
2,S_4,P_13,0
2,S_4,P_14,127
2,S_4,P_15,0
2,S_4,P_16,16
2,S_4,P_17,74
2,S_4,P_18,69
2,S_4,P_19,0
2,S_4,P_20,10
2,S_4,P_21,46
2,S_4,P_22,0
2,S_4,P_23,0
2,S_4,P_24,0
2,S_4,P_25,27
2,S_4,P_26,72
2,S_4,P_27,62
2,S_4,P_28,20
2,S_4,P_29,36
2,S_4,P_30,0
2,S_5,P_1,0
2,S_5,P_2,0
2,S_5,P_3,0
2,S_5,P_4,6
2,S_5,P_5,1
2,S_5,P_6,0
2,S_5,P_7,0
2,S_5,P_8,0
2,S_5,P_9,0
2,S_5,P_10,0
2,S_5,P_11,3
2,S_5,P_12,0
2,S_5,P_13,0
2,S_5,P_14,0
2,S_5,P_15,0
2,S_5,P_16,0
2,S_5,P_17,0
2,S_5,P_18,0
2,S_5,P_19,0
2,S_5,P_20,0
2,S_5,P_21,0
2,S_5,P_22,0
2,S_5,P_23,0
2,S_5,P_24,0
2,S_5,P_25,0
2,S_5,P_26,0
2,S_5,P_27,0
2,S_5,P_28,0
2,S_5,P_29,0
2,S_5,P_30,0
2,S_6,P_1,0
2,S_6,P_2,0
2,S_6,P_3,0
2,S_6,P_4,0
2,S_6,P_5,0
2,S_6,P_6,0
