Order from Day_254. Please deliver 206 units of product P_1. Regards, Store S_2.
Order from Day_254. Please deliver 312 units of product P_2. Regards, Store S_2.
Order from Day_254. Please deliver 386 units of product P_3. Regards, Store S_2.
Order from Day_254. Please deliver 158 units of product P_4. Regards, Store S_2.
Order from Day_254. Please deliver 186 units of product P_5. Regards, Store S_2.
Order from Day_254. Please deliver 281 units of product P_6. Regards, Store S_2.
Order from Day_254. Please deliver 221 units of product P_7. Regards, Store S_2.
Order from Day_254. Please deliver 283 units of product P_8. Regards, Store S_2.
Order from Day_254. Please deliver 238 units of product P_10. Regards, Store S_2.
Order from Day_254. Please deliver 214 units of product P_11. Regards, Store S_2.
Order from Day_254. Please deliver 269 units of product P_12. Regards, Store S_2.
Order from Day_254. Please deliver 288 units of product P_13. Regards, Store S_2.
Order from Day_254. Please deliver 251 units of product P_15. Regards, Store S_2.
Order from Day_254. Please deliver 317 units of product P_16. Regards, Store S_2.
Order from Day_254. Please deliver 112 units of product P_18. Regards, Store S_2.
Order from Day_254. Please deliver 267 units of product P_19. Regards, Store S_2.
Order from Day_254. Please deliver 91 units of product P_20. Regards, Store S_2.
Order from Day_254. Please deliver 357 units of product P_21. Regards, Store S_2.
Order from Day_254. Please deliver 305 units of product P_22. Regards, Store S_2.
Order from Day_254. Please deliver 367 units of product P_24. Regards, Store S_2.
Order from Day_254. Please deliver 371 units of product P_25. Regards, Store S_2.
Order from Day_254. Please deliver 218 units of product P_26. Regards, Store S_2.
Order from Day_254. Please deliver 301 units of product P_29. Regards, Store S_2.
Order from Day_254. Please deliver 430 units of product P_30. Regards, Store S_2.
