RECEIVER: S_8 | ORDER_PRODUCT: P_1 | ORDER_QTY: 326
RECEIVER: S_8 | ORDER_PRODUCT: P_2 | ORDER_QTY: 320
RECEIVER: S_8 | ORDER_PRODUCT: P_3 | ORDER_QTY: 454
RECEIVER: S_8 | ORDER_PRODUCT: P_5 | ORDER_QTY: 234
RECEIVER: S_8 | ORDER_PRODUCT: P_6 | ORDER_QTY: 411
RECEIVER: S_8 | ORDER_PRODUCT: P_7 | ORDER_QTY: 472
RECEIVER: S_8 | ORDER_PRODUCT: P_8 | ORDER_QTY: 389
RECEIVER: S_8 | ORDER_PRODUCT: P_9 | ORDER_QTY: 177
RECEIVER: S_8 | ORDER_PRODUCT: P_10 | ORDER_QTY: 332
RECEIVER: S_8 | ORDER_PRODUCT: P_11 | ORDER_QTY: 224
RECEIVER: S_8 | ORDER_PRODUCT: P_12 | ORDER_QTY: 357
RECEIVER: S_8 | ORDER_PRODUCT: P_13 | ORDER_QTY: 284
RECEIVER: S_8 | ORDER_PRODUCT: P_15 | ORDER_QTY: 414
RECEIVER: S_8 | ORDER_PRODUCT: P_16 | ORDER_QTY: 383
RECEIVER: S_8 | ORDER_PRODUCT: P_18 | ORDER_QTY: 133
RECEIVER: S_8 | ORDER_PRODUCT: P_19 | ORDER_QTY: 351
RECEIVER: S_8 | ORDER_PRODUCT: P_20 | ORDER_QTY: 175
RECEIVER: S_8 | ORDER_PRODUCT: P_21 | ORDER_QTY: 492
RECEIVER: S_8 | ORDER_PRODUCT: P_22 | ORDER_QTY: 570
RECEIVER: S_8 | ORDER_PRODUCT: P_24 | ORDER_QTY: 440
RECEIVER: S_8 | ORDER_PRODUCT: P_25 | ORDER_QTY: 427
RECEIVER: S_8 | ORDER_PRODUCT: P_28 | ORDER_QTY: 259
RECEIVER: S_8 | ORDER_PRODUCT: P_29 | ORDER_QTY: 170
RECEIVER: S_8 | ORDER_PRODUCT: P_30 | ORDER_QTY: 277
